[2026-03-12--03-23-41 INFO actix_server::builder] starting 5 workers
[2026-03-12--03-23-41 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-03-12--03-23-41 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-03-12--03-23-42 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-03-12--03-24-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45970.
[2026-03-12--03-26-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37968.
[2026-03-12--03-26-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38382.
[2026-03-12--03-26-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38392.
[2026-03-12--03-26-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52116.
[2026-03-12--03-27-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57590.
[2026-03-12--03-27-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36328.
[2026-03-12--03-28-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36330.
[2026-03-12--03-28-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33418.
[2026-03-12--03-28-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33434.
[2026-03-12--03-30-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34364.
[2026-03-12--03-31-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52200.
[2026-03-12--03-31-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50682.
[2026-03-12--03-31-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50686.
[2026-03-12--03-31-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50690.
[2026-03-12--03-31-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50702.
[2026-03-12--03-31-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50704.
[2026-03-12--03-31-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50762.
[2026-03-12--03-31-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40418.
[2026-03-12--03-31-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40424.
[2026-03-12--03-31-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40434.
[2026-03-12--03-31-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57218.
[2026-03-12--03-32-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33140.
[2026-03-12--03-32-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36010.
[2026-03-12--03-32-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36018.
[2026-03-12--03-32-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36030.
[2026-03-12--03-32-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36046.
[2026-03-12--03-32-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42846.
[2026-03-12--03-32-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40162.
[2026-03-12--03-32-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58214.
[2026-03-12--03-32-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58226.
[2026-03-12--03-32-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58228.
[2026-03-12--03-32-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58240.
[2026-03-12--03-33-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58250.
[2026-03-12--03-33-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33806.
[2026-03-12--03-33-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49528.
[2026-03-12--03-33-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49534.
[2026-03-12--03-33-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41418.
[2026-03-12--03-33-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42868.
[2026-03-12--03-34-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47144.
[2026-03-12--03-34-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47158.
[2026-03-12--03-34-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47168.
