[2026-03-11--19-00-17 INFO actix_server::builder] starting 5 workers
[2026-03-11--19-00-17 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-03-11--19-00-17 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-03-11--19-00-17 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-03-11--19-02-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47204.
[2026-03-11--19-02-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54998.
[2026-03-11--19-02-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55008.
[2026-03-11--19-02-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55020.
[2026-03-11--19-02-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55036.
[2026-03-11--19-02-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34156.
[2026-03-11--19-03-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43776.
[2026-03-11--19-03-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43780.
[2026-03-11--19-03-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43782.
[2026-03-11--19-03-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54320.
[2026-03-11--19-03-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54322.
[2026-03-11--19-05-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36662.
[2026-03-11--19-05-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45248.
[2026-03-11--19-05-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45262.
[2026-03-11--19-05-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45266.
[2026-03-11--19-05-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45276.
[2026-03-11--19-05-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59628.
[2026-03-11--19-06-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45200.
[2026-03-11--19-06-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49180.
[2026-03-11--19-06-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49192.
[2026-03-11--19-06-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49204.
[2026-03-11--19-06-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49214.
[2026-03-11--19-07-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59812.
[2026-03-11--19-07-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40524.
[2026-03-11--19-07-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40540.
[2026-03-11--19-07-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40548.
[2026-03-11--19-07-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36754.
[2026-03-11--19-07-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36770.
[2026-03-11--19-08-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46400.
[2026-03-11--19-08-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45500.
[2026-03-11--19-08-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45504.
[2026-03-11--19-08-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45520.
[2026-03-11--19-08-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57242.
[2026-03-11--19-23-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59870.
[2026-03-11--19-23-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56354.
[2026-03-11--19-23-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50146.
[2026-03-11--19-23-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50162.
[2026-03-11--19-23-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34236.
[2026-03-11--19-23-52 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34238.
[2026-03-11--19-23-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34240.
[2026-03-11--19-23-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59606.
[2026-03-11--19-30-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40926.
[2026-03-11--19-31-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58778.
[2026-03-11--19-31-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58780.
[2026-03-11--19-31-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46920.
[2026-03-11--19-31-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46932.
[2026-03-11--19-31-26 INFO actix_server::accept] accept thread stopped
[2026-03-11--19-31-26 INFO actix_server::worker] shutting down idle worker
[2026-03-11--19-31-26 INFO actix_server::worker] shutting down idle worker
[2026-03-11--19-31-26 INFO actix_server::worker] shutting down idle worker
